False Positive Rate,True Positive Rate
0.0,0.0
0.0,0.0002575328354365182
0.0,0.006180788050476436
0.0,0.006695853721349472
0.0,0.008241050733968582
0.0,0.008756116404841618
0.0,0.009013649240278136
0.0,0.00978624774658769
0.0,0.018799896986865825
0.0,0.01931496265773886
0.0,0.028586144733453514
0.0,0.02910121040432655
0.0,0.02935874323976307
0.0,0.029873808910636106
0.0,0.03244913726500129
0.0,0.03296420293587433
0.0,0.033221735771310844
0.0,0.03373680144218388
0.0,0.0339943342776204
0.0,0.03450939994849343
0.0,0.03476693278392995
0.0,0.03528199845480299
0.0,0.03914499098635076
0.0,0.039660056657223795
0.0,0.04172031934071594
0.0,0.04223538501158898
0.0,0.04275045068246201
0.0,0.04326551635333505
0.0,0.04584084470770023
0.0,0.04635591037857327
0.0,0.04712850888488282
0.0,0.04764357455575586
0.0,0.048416173062065415
0.0,0.04893123873293845
0.0,0.05176409992274015
0.0,0.05227916559361319
0.0,0.05639969096059748
0.0,0.05691475663147051
0.0,0.06773113571980427
0.0,0.06824620139067732
0.0,0.07288179242853464
0.0,0.07339685809940767
0.0,0.07442698944115375
0.0,0.07494205511202678
0.0,0.08859129539016225
0.0,0.08910636106103528
0.0,0.1022405356682977
0.0,0.10275560133917075
0.0,0.1290239505536956
0.0,0.12953901622456862
0.0,0.1321143445789338
0.0,0.13262941024980685
0.0,0.15065670873036313
0.0,0.15117177440123616
0.0,0.15271697141385526
0.0,0.1532320370847283
0.0,0.16379088333762554
0.0,0.16482101467937163
0.0,0.19778521761524595
0.0,0.19830028328611898
0.0,0.20061807880504764
0.0,0.20113314447592068
0.0,0.2083440638681432
0.0,0.20885912953901623
0.0,0.21220705639969095
0.0007412898443291327,0.21220705639969095
0.0007412898443291327,0.21684264743754827
0.0007412898443291327,0.21735771310842134
0.0007412898443291327,0.22328096832346125
0.0007412898443291327,0.2237960339943343
0.0007412898443291327,0.23461241308266803
0.0007412898443291327,0.23512747875354106
0.0007412898443291327,0.23718774143703322
0.0007412898443291327,0.23770280710790626
0.0007412898443291327,0.23796033994334279
0.0007412898443291327,0.23847540561421582
0.0007412898443291327,0.2546999742467165
0.0007412898443291327,0.2552150399175895
0.0007412898443291327,0.27349987123358227
0.0007412898443291327,0.27401493690445533
0.0007412898443291327,0.27633273242338396
0.0007412898443291327,0.276847798094257
0.0007412898443291327,0.27890806077774916
0.0007412898443291327,0.2794231264486222
0.0007412898443291327,0.28431625032191604
0.0007412898443291327,0.2848313159927891
0.0007412898443291327,0.28714911151171774
0.0007412898443291327,0.2879217100180273
0.0007412898443291327,0.29126963687870205
0.0007412898443291327,0.29178470254957506
0.0007412898443291327,0.32243110996652075
0.0007412898443291327,0.32294617563739375
0.0007412898443291327,0.362348699459181
0.0007412898443291327,0.3628637651300541
0.0007412898443291327,0.4097347411795004
0.0007412898443291327,0.41024980685037343
0.0007412898443291327,0.4138552665464847
0.0007412898443291327,0.4143703322173577
0.0007412898443291327,0.49266031419005923
0.0007412898443291327,0.4931753798609323
0.0007412898443291327,0.532320370847283
0.0007412898443291327,0.532835436518156
0.0007412898443291327,0.5359258305433943
0.0007412898443291327,0.5364408962142673
0.0007412898443291327,0.5943857841874839
0.0007412898443291327,0.5949008498583569
0.0007412898443291327,0.6126706155034767
0.0007412898443291327,0.6131856811743497
0.0007412898443291327,0.6147308781869688
0.0014825796886582653,0.6147308781869688
0.0014825796886582653,0.6561936646922483
0.0014825796886582653,0.6567087303631213
0.0014825796886582653,0.6881277362863765
0.0014825796886582653,0.6886428019572496
0.0014825796886582653,0.6950811228431625
0.002223869532987398,0.6950811228431625
0.002223869532987398,0.7257275302601082
0.0029651593773165306,0.7257275302601082
0.0029651593773165306,0.7321658511460211
0.0037064492216456633,0.7321658511460211
0.0037064492216456633,0.7337110481586402
0.004447739065974796,0.7337110481586402
0.004447739065974796,0.7494205511202678
0.005189028910303929,0.7494205511202678
0.005189028910303929,0.7496780839557043
0.005930318754633061,0.7496780839557043
0.005930318754633061,0.7607519958794746
0.006671608598962194,0.7607519958794746
0.006671608598962194,0.7648725212464589
0.007412898443291327,0.7648725212464589
0.007412898443291327,0.7697656451197528
0.00815418828762046,0.7697656451197528
0.00815418828762046,0.7700231779551893
0.008895478131949592,0.7700231779551893
0.008895478131949592,0.7705382436260623
0.009636767976278725,0.7705382436260623
0.009636767976278725,0.7790368271954674
0.010378057820607857,0.7790368271954674
0.010378057820607857,0.7867628122585629
0.01111934766493699,0.7867628122585629
0.01111934766493699,0.7870203450939995
0.011860637509266123,0.7870203450939995
0.011860637509266123,0.7895956734483647
0.012601927353595256,0.7895956734483647
0.012601927353595256,0.7983517898532063
0.013343217197924388,0.7983517898532063
0.013343217197924388,0.8053051764099923
0.014084507042253521,0.8053051764099923
0.014084507042253521,0.822559876384239
0.014825796886582653,0.822559876384239
0.014825796886582653,0.8248776719031676
0.015567086730911787,0.8248776719031676
0.015567086730911787,0.8284831315992789
